anchor_APE-A_atoms,anchor_APE-E_atoms,anchor_APE-P_atoms,anchor_DFG-D_atoms,anchor_DFG-F_atoms,anchor_DFG-G_atoms,anchor_motif,ape_motif_start_resi,ape_resi,chain,chain_key,dfg_resi,dfg_spatial,dihedral,expected_loop,flank_rmsd,flank_rmsd_addendum,gene,group,idx,ligand_type,loop_length,membership,n_loop_present,needs_v9_1_retrain,ood,pdb,recon_rmsd,source,z0,z1
,,,,,,APE,,,,8RQWA,,DFGin,BLAminus,,4.786393418729944,,MAPK1,CMGC_MAPK1_RAT,,ATPlike,31,,,False,True,,1.0537874698638916,v9_addendum_comprehensive,38.66735076904297,4.300904750823975
,,,,,,APE,,,,8QR5A,,DFGin,BLAminus,,4.851251313616791,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0564587116241455,v9_addendum_litsearch,37.68708419799805,4.192487716674805
,,,,,,APE,,,,8QRCA,,DFGin,BLAminus,,4.82728218736354,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0616782903671265,v9_addendum_litsearch,38.40185546875,2.431072950363159
,,,,,,APE,,,,8QRAA,,DFGin,BLAminus,,4.801612235123621,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0630897283554075,v9_addendum_litsearch,40.28691101074219,2.933753490447998
,,,,,,APE,,,,8QR2A,,DFGin,BLAminus,,4.825524358837983,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0632572174072266,v9_addendum_litsearch,38.25853729248047,2.85579776763916
,,,,,,APE,,,,8QR4A,,DFGin,BLAminus,,4.733108910868301,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0687155723571775,v9_addendum_litsearch,38.6953125,3.4164838790893555
,,,,,,APE,,,,8RQVA,,DFGin,BLAminus,,4.793570259769148,,MAPK1,CMGC_MAPK1_RAT,,ATPlike,31,,,False,True,,1.0693272352218628,v9_addendum_comprehensive,38.890323638916016,4.269280910491943
,,,,,,APE,,,,8RQXA,,DFGin,BLAminus,,4.803280422148908,,MAPK1,CMGC_MAPK1_RAT,,ATPlike,31,,,False,True,,1.0736892223358154,v9_addendum_litsearch,38.86183547973633,3.513073205947876
,,,,,,APE,,,,8QR8A,,DFGin,BLAminus,,4.743462210915437,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0748530626296997,v9_addendum_comprehensive,36.144569396972656,3.107429981231689
,,,,,,APE,,,,8QR3A,,DFGin,BLAminus,,4.716652165930986,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0775442123413086,v9_addendum_litsearch,36.938777923583984,2.83349609375
,,,,,,APE,,,,8RM2A,,DFGin,BLAminus,,4.81130778678509,,MAPK1,CMGC_MAPK1_RAT,,No_ligand,31,,,False,True,,1.0885106325149536,v9_addendum_comprehensive,40.09800338745117,3.0986430644989014
,,,,,,APE,,,,8RLXA,,DFGin,BLAminus,,4.801361705557135,,MAPK1,CMGC_MAPK1_RAT,,No_ligand,31,,,False,True,,1.0904371738433838,v9_addendum_litsearch,37.98645782470703,2.764655113220215
,,,,,,APE,,,,8RMBA,,DFGin,BLAminus,,4.814466737666041,,MAPK1,CMGC_MAPK1_RAT,,No_ligand,31,,,False,True,,1.093988060951233,v9_addendum_comprehensive,39.03642272949219,3.630569458007813
,,,,,,APE,,,,8QR9A,,DFGin,BLAminus,,4.725631434638239,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.099455714225769,v9_addendum_comprehensive,38.45367813110352,2.6456081867218018
,,,,,,APE,,,,8QR7A,,DFGin,BLAminus,,4.724735299344039,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.0999280214309692,v9_addendum_litsearch,40.37643051147461,2.302522659301758
,,,,,,APE,,,,8QRBA,,DFGin,BLAminus,,4.717604575139787,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.1461822986602783,v9_addendum_comprehensive,37.39705657958984,3.5419156551361084
,,,,,,APE,,,,7RJ8B,,DFGin,BLAminus,,4.545735767952005,,AAK1,OTHER_AAK1_MOUSE,,"Type1,Allosteric",36,,,False,True,,1.1761112213134766,v9_addendum_comprehensive,18.75160217285156,2.3023769855499268
,,,,,,APE,,,,8QR6A,,DFGin,BLAminus,,4.728480260737223,,MAPK1,CMGC_MAPK1_RAT,,Type1,31,,,False,True,,1.177356481552124,v9_addendum_litsearch,38.12055587768555,2.7771809101104736
,,,,,,APE,,,,9ESQC,,DFGin,BLAminus,,4.6561066655960985,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric",28,,,False,True,,1.1889704465866089,v9_addendum_comprehensive,91.91568756103516,127.4832763671875
,,,,,,APE,,,,9ESWC,,DFGin,BLAminus,,4.6809735012042974,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric,Allosteric",28,,,False,True,,1.1900622844696045,v9_addendum_comprehensive,91.10020446777344,123.45079040527344
,,,,,,APE,,,,9ET3C,,DFGin,BLAminus,,4.6520174310666365,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.1933250427246094,v9_addendum_comprehensive,93.66033935546876,129.59353637695312
,,,,,,APE,,,,9QB5B,,DFGin,BLAminus,,4.478665550879497,,AAK1,OTHER_AAK1_HUMAN,,Type1,36,,,False,True,,1.1940407752990725,v9_addendum_comprehensive,17.900203704833984,2.5720722675323486
,,,,,,APE,,,,9ESPC,,DFGin,BLAminus,,4.674390086717893,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.198463797569275,v9_addendum_comprehensive,90.31550598144533,126.89422607421876
,,,,,,APE,,,,9ESRC,,DFGin,BLAminus,,4.655738902076027,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.198561429977417,v9_addendum_comprehensive,92.88172149658205,126.04595184326172
,,,,,,APE,,,,8SCEA,,DFGin,BLAminus,,5.342060289318302,,IRAK4,TKL_IRAK4_HUMAN,,Type1,30,,,False,True,,1.1990748643875122,v9_addendum_comprehensive,31.65811920166016,63.21174621582031
,,,,,,APE,,,,9QB5A,,DFGin,BLAminus,,4.45929232321796,,AAK1,OTHER_AAK1_HUMAN,,Type1,36,,,False,True,,1.1991143226623535,v9_addendum_comprehensive,18.99198532104492,2.505134344100952
,,,,,,APE,,,,9ET6C,,DFGin,BLAminus,,4.683510944156854,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.2003366947174072,v9_addendum_comprehensive,91.43329620361328,123.82234954833984
,,,,,,APE,,,,9ET6A,,DFGin,BLAminus,,4.732434777411044,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Type1,Allosteric,Allosteric",28,,,False,True,,1.2003549337387085,v9_addendum_comprehensive,89.86939239501953,125.69683074951172
,,,,,,APE,,,,9ESZC,,DFGin,BLAminus,,4.680904815886722,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2004859447479248,v9_addendum_comprehensive,90.6168441772461,122.2110824584961
,,,,,,APE,,,,9ET0C,,DFGin,BLAminus,,4.690002048642411,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.200584888458252,v9_addendum_comprehensive,87.36799621582031,126.80575561523438
,,,,,,APE,,,,8SCEB,,DFGin,BLAminus,,5.428585688449366,,IRAK4,TKL_IRAK4_HUMAN,,Type1,30,,,False,True,,1.2007787227630615,v9_addendum_comprehensive,31.36474227905273,62.89285659790039
,,,,,,APE,,,,9ESUC,,DFGin,BLAminus,,4.681082177307025,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2030689716339111,v9_addendum_comprehensive,93.1867218017578,125.61224365234376
,,,,,,APE,,,,7RJ7A,,DFGin,BLAminus,,4.4419620341587285,,AAK1,OTHER_AAK1_MOUSE,,Type1,36,,,False,True,,1.2039591073989868,v9_addendum_comprehensive,17.850879669189453,3.0376930236816406
,,,,,,APE,,,,9ETBA,,DFGin,BLAminus,,4.702699681689428,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric,Allosteric",28,,,False,True,,1.205615520477295,v9_addendum_comprehensive,88.25968933105469,126.73504638671876
,,,,,,APE,,,,9ESOA,,DFGin,BLAminus,,4.743436557577961,,CDK2,CMGC_CDK2_HUMAN,,Allosteric,28,,,False,True,,1.2066090106964111,v9_addendum_comprehensive,85.75125885009766,124.67428588867188
,,,,,,APE,,,,9ET2C,,DFGin,BLAminus,,4.692340524578073,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2067779302597046,v9_addendum_comprehensive,89.5369644165039,128.0512237548828
,,,,,,APE,,,,9ETPC,,DFGin,BLAminus,,4.642431778047716,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.2084860801696775,v9_addendum_comprehensive,89.62735748291016,132.37353515625
,,,,,,APE,,,,9ET8C,,DFGin,BLAminus,,4.68918522208554,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.2089922428131104,v9_addendum_comprehensive,94.75296783447266,126.54777526855467
,,,,,,APE,,,,9ET7C,,DFGin,BLAminus,,4.67291160256014,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.209080696105957,v9_addendum_comprehensive,94.20514678955078,127.09568786621094
,,,,,,APE,,,,9ET1C,,DFGin,BLAminus,,4.675484053633621,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2114381790161133,v9_addendum_comprehensive,90.40006256103516,128.94349670410156
,,,,,,APE,,,,9ESJA,,DFGin,BLAminus,,4.739077309550003,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric,Allosteric",28,,,False,True,,1.2143139839172363,v9_addendum_comprehensive,89.0062026977539,126.15206909179688
,,,,,,APE,,,,9ESYC,,DFGin,BLAminus,,4.655364010410798,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.214666724205017,v9_addendum_comprehensive,89.25776672363281,131.64950561523438
,,,,,,APE,,,,9ET9C,,DFGin,BLAminus,,4.675011097337604,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.217574954032898,v9_addendum_comprehensive,90.73959350585938,133.38462829589844
,,,,,,APE,,,,9ESKA,,DFGin,BLAminus,,4.7416038115589965,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.2178711891174316,v9_addendum_comprehensive,87.27820587158203,129.86093139648438
,,,,,,APE,,,,9ESLC,,DFGin,BLAminus,,4.646524427943653,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2183184623718262,v9_addendum_comprehensive,91.53428649902344,132.137451171875
,,,,,,APE,,,,9ETAC,,DFGin,BLAminus,,4.684274025195132,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.218938231468201,v9_addendum_comprehensive,94.1435317993164,130.11868286132812
,,,,,,APE,,,,9GLAA,,DFGin,BLAminus,,4.686998490689176,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2189650535583496,v9_addendum_comprehensive,90.33128356933594,121.32089233398438
,,,,,,APE,,,,8SCWB,,DFGin,BLAminus,,5.386447404811073,,IRAK4,TKL_IRAK4_HUMAN,,Type1,30,,,False,True,,1.2196873426437378,v9_addendum_comprehensive,32.39199447631836,69.15509796142578
,,,,,,APE,,,,9ETBC,,DFGin,BLAminus,,4.645211071714546,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.22041654586792,v9_addendum_comprehensive,90.48939514160156,133.47633361816406
,,,,,,APE,,,,9ESWA,,DFGin,BLAminus,,4.74658776480156,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric,Allosteric",28,,,False,True,,1.220427393913269,v9_addendum_comprehensive,90.6929168701172,126.57046508789062
,,,,,,APE,,,,9ET8A,,DFGin,BLAminus,,4.730956774564284,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric",28,,,False,True,,1.2206206321716309,v9_addendum_comprehensive,91.18944549560548,130.46432495117188
,,,,,,APE,,,,9ET3A,,DFGin,BLAminus,,4.713258848319105,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric,Allosteric,Allosteric",28,,,False,True,,1.2224462032318115,v9_addendum_comprehensive,89.53658294677734,118.49041748046876
,,,,,,APE,,,,9ET5C,,DFGin,BLAminus,,4.671234557210386,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2236127853393557,v9_addendum_comprehensive,91.53722381591795,132.3260498046875
,,,,,,APE,,,,9ESNC,,DFGin,BLAminus,,4.674380919142353,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2238507270812988,v9_addendum_comprehensive,94.43717956542967,131.6747589111328
,,,,,,APE,,,,9ESQA,,DFGin,BLAminus,,4.738280892480399,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric,Allosteric",28,,,False,True,,1.226801872253418,v9_addendum_comprehensive,89.31816864013672,127.44390869140624
,,,,,,APE,,,,9ESVA,,DFGin,BLAminus,,4.728177182216602,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric,Allosteric",28,,,False,True,,1.2286698818206787,v9_addendum_comprehensive,90.66740417480467,130.977294921875
,,,,,,APE,,,,9ESNA,,DFGin,BLAminus,,4.743766572284518,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.229112148284912,v9_addendum_comprehensive,91.7806167602539,128.01638793945312
,,,,,,APE,,,,9ET9A,,DFGin,BLAminus,,4.717853048902191,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric,Allosteric,Allosteric",28,,,False,True,,1.2295737266540527,v9_addendum_comprehensive,87.56678771972656,130.54298400878906
,,,,,,APE,,,,9ET1A,,DFGin,BLAminus,,4.749515731087552,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1",28,,,False,True,,1.229702115058899,v9_addendum_comprehensive,86.19361877441406,130.37039184570312
,,,,,,APE,,,,9ET0A,,DFGin,BLAminus,,4.733530924811774,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.229825496673584,v9_addendum_comprehensive,88.33580017089844,133.6177978515625
,,,,,,APE,,,,9ESZA,,DFGin,BLAminus,,4.7492847150601,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2303643226623535,v9_addendum_comprehensive,90.72156524658205,133.44447326660156
,,,,,,APE,,,,9ETPA,,DFGin,BLAminus,,4.7026318347935465,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric,Allosteric,Allosteric,Allosteric",28,,,False,True,,1.2313246726989746,v9_addendum_comprehensive,90.49606323242188,133.91661071777344
,,,,,,APE,,,,9ET7A,,DFGin,BLAminus,,4.73119454251827,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2315995693206787,v9_addendum_comprehensive,89.70732116699219,133.4753875732422
,,,,,,APE,,,,9ESUA,,DFGin,BLAminus,,4.739918256957144,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2320836782455444,v9_addendum_comprehensive,88.87759399414062,130.89132690429688
,,,,,,APE,,,,9ESOC,,DFGin,BLAminus,,4.687682666481162,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric",28,,,False,True,,1.23271906375885,v9_addendum_comprehensive,89.59870910644531,133.69015502929688
,,,,,,APE,,,,9ESYA,,DFGin,BLAminus,,4.737997620378003,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1",28,,,False,True,,1.2332119941711426,v9_addendum_comprehensive,86.82433319091797,132.43630981445312
,,,,,,APE,,,,9ESJC,,DFGin,BLAminus,,4.676120985810592,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.233220100402832,v9_addendum_comprehensive,89.51688385009766,135.84158325195312
,,,,,,APE,,,,8SCWD,,DFGin,BLAminus,,5.45701356456256,,IRAK4,TKL_IRAK4_HUMAN,,Type1,30,,,False,True,,1.2333661317825315,v9_addendum_comprehensive,26.46113395690918,67.60648345947266
,,,,,,APE,,,,9ET5A,,DFGin,BLAminus,,4.739913214313103,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2337846755981443,v9_addendum_comprehensive,82.5413818359375,131.5745086669922
,,,,,,APE,,,,9ESRA,,DFGin,BLAminus,,4.733024501876129,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Type1.5_Back,Allosteric,Allosteric",28,,,False,True,,1.2347214221954346,v9_addendum_comprehensive,92.4235382080078,134.19422912597656
,,,,,,APE,,,,9ESSC,,DFGin,BLAminus,,4.6601014812129495,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2352423667907717,v9_addendum_comprehensive,90.71054077148438,135.39764404296875
,,,,,,APE,,,,9ESLA,,DFGin,BLAminus,,4.7335217985382165,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric,Allosteric",28,,,False,True,,1.2461777925491333,v9_addendum_comprehensive,93.45198059082033,133.08892822265625
,,,,,,APE,,,,8SCWA,,DFGin,BLAminus,,5.46076746728745,,IRAK4,TKL_IRAK4_HUMAN,,Type1,30,,,False,True,,1.2471015453338623,v9_addendum_comprehensive,35.7371826171875,65.3689956665039
,,,,,,APE,,,,8SCWC,,DFGin,BLAminus,,5.448709201023407,,IRAK4,TKL_IRAK4_HUMAN,,Type1,30,,,False,True,,1.2483453750610352,v9_addendum_comprehensive,27.005416870117188,67.33685302734375
,,,,,,APE,,,,9ESPA,,DFGin,BLAminus,,4.751506870882034,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.2489962577819824,v9_addendum_comprehensive,94.70108032226562,134.52566528320312
,,,,,,APE,,,,8SCED,,DFGin,BLAminus,,5.47662081558205,,IRAK4,TKL_IRAK4_HUMAN,,Type1,30,,,False,True,,1.2492637634277344,v9_addendum_comprehensive,45.74871063232422,61.4678840637207
,,,,,,APE,,,,9ESVC,,DFGin,BLAminus,,4.634685473957759,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2498247623443604,v9_addendum_comprehensive,92.80585479736328,135.44676208496094
,,,,,,APE,,,,9ESSA,,DFGin,BLAminus,,4.7427678544213165,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1,Allosteric,Allosteric",28,,,False,True,,1.2503509521484375,v9_addendum_comprehensive,87.4186782836914,137.13339233398438
,,,,,,APE,,,,9ET2A,,DFGin,BLAminus,,4.74194987708209,,CDK2,CMGC_CDK2_HUMAN,,"Allosteric,Type1",28,,,False,True,,1.257601261138916,v9_addendum_comprehensive,87.25403594970703,137.738037109375
,,,,,,APE,,,,7LVIA,,DFGin,ABAminus,,4.486511566919932,,AAK1,OTHER_AAK1_MOUSE,,Type1,36,,,False,True,,1.2583932876586914,v9_addendum_comprehensive,17.294509887695312,2.7995617389678955
,,,,,,APE,,,,9ETAA,,DFGin,BLAminus,,4.7561102745961925,,CDK2,CMGC_CDK2_HUMAN,,Type1,28,,,False,True,,1.260281324386597,v9_addendum_comprehensive,90.21636962890624,137.1943359375
,,,,,,APE,,,,7LVIB,,DFGin,BLAminus,,4.440771262173725,,AAK1,OTHER_AAK1_MOUSE,,Type1,36,,,False,True,,1.2607722282409668,v9_addendum_comprehensive,18.94100570678711,2.040114641189575
,,,,,,APE,,,,7RJ6A,,DFGin,BLAminus,,4.456720411170423,,AAK1,OTHER_AAK1_MOUSE,,Type1,36,,,False,True,,1.262728214263916,v9_addendum_comprehensive,17.54876708984375,3.505035400390625
,,,,,,APE,,,,9RELA,,DFGin,BLAminus,,4.909457590287349,,PRKACA,AGC_PRKACA_CRIGR,,"Allosteric,Allosteric",25,,,False,True,,1.2729326486587524,v9_addendum_comprehensive,52.555660247802734,141.4568634033203
,,,,,,APE,,,,9ESKC,,DFGin,BLAminus,,4.6819117801715215,,CDK2,CMGC_CDK2_HUMAN,,"Type1,Allosteric",28,,,False,True,,1.2758510112762451,v9_addendum_comprehensive,92.49543762207033,137.7008514404297
,,,,,,APE,,,,8UKPE,,DFGin,ABAminus,,4.884174547159581,,PRKACA,AGC_PRKACA_MOUSE,,ATPlike,25,,,False,True,,1.2761497497558594,v9_addendum_comprehensive,55.60553359985352,134.25503540039062
,,,,,,APE,,,,7RJ8A,,DFGin,BLAminus,,4.535611912978224,,AAK1,OTHER_AAK1_MOUSE,,"Type1,Allosteric",36,,,False,True,,1.2787954807281494,v9_addendum_comprehensive,18.618995666503903,2.170263290405273
,,,,,,APE,,,,6E21A,,DFGin,BLAminus,,4.793932409012169,,PRKACA,AGC_PRKACA_MOUSE,,ATPlike,25,,,False,True,,1.282994270324707,v9_addendum_comprehensive,51.13825225830078,140.8154754638672
,,,,,,APE,,,,9RE7A,,DFGin,BLAminus,,4.932469603038415,,PRKACA,AGC_PRKACA_CRIGR,,"Type1,Allosteric,Allosteric,Allosteric",25,,,False,True,,1.28332257270813,v9_addendum_comprehensive,56.40576553344727,149.0245361328125
,,,,,,APE,,,,9REKA,,DFGin,ABAminus,,4.8715369674334426,,PRKACA,AGC_PRKACA_CRIGR,,"Type1,Allosteric,Allosteric,Allosteric",25,,,False,True,,1.2851800918579102,v9_addendum_comprehensive,57.848575592041016,149.12582397460938
,,,,,,APE,,,,7RJ7B,,DFGin,BLAminus,,4.470595436941734,,AAK1,OTHER_AAK1_MOUSE,,Type1,36,,,False,True,,1.287006139755249,v9_addendum_comprehensive,18.47313690185547,2.4744606018066406
,,,,,,SPE,,,,8YEVB,,DFGin,BLAminus,,7.06608222164409,,DYRK1A,CMGC_DYRK1A_HUMAN,,Type1,25,,,False,True,,1.2958605289459229,v9_addendum_comprehensive,11.43826961517334,121.91183471679688
,,,,,,APE,,,,9REFA,,DFGin,BLAminus,,4.788150131292421,,PRKACA,AGC_PRKACA_CRIGR,,Type1,25,,,False,True,,1.2961841821670532,v9_addendum_comprehensive,53.29489517211914,145.00546264648438
,,,,,,SPE,,,,8YEVA,,DFGin,BLAminus,,7.059987898357892,,DYRK1A,CMGC_DYRK1A_HUMAN,,Type1,25,,,False,True,,1.3009462356567385,v9_addendum_comprehensive,13.241558074951172,118.54134368896484
